Thu May 13 05:24:39 +0000 2021	{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}	b'China export delay halts Sinovac Covid-19 vaccine production in Brazil'
Sat May 08 09:44:44 +0000 2021	{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.6249}	b' on his bike I felt a little unwell after the first and have felt fine so far after the second. There are centres set up throughout Hong Kong, which vaccinate people free of charge. Sinovac and Pfizer are available at different locations...'
Sat May 08 07:18:41 +0000 2021	{'neg': 0.163, 'neu': 0.638, 'pos': 0.199, 'compound': 0.25}	b'why is your promoted post regarding Sinovac\'s "disappointing" results in my feed the day after approved the vaccine for emergency use? propaganda'
Sat May 08 05:29:14 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'At least one man get 2 doses of Biotech from Government vaccination centre and 1 dose of Sinovac from private clinic and he is supposed to be living at this moment (case reported to CHP and it is said his status is being monitored)...'
Sat May 08 03:33:00 +0000 2021	{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.7217}	b"I believe Sinovac COVID19 COVID19Vaccine has not kill the virus completely. That's why the countries injected has increase the rate of inflection"
Sat May 08 03:17:44 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b"\xf0\x9f\x87\xb9\xf0\x9f\x87\xad\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3 Thailand will start to inoculate seniors aged 60 and above with COVID19 vaccines developed by China's Sinovac, the country's Deputy Prime Minister and Public Health Minister Anutin Charnvirakul said Friday."
Sat May 08 02:37:14 +0000 2021	{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.1531}	b'We have a choice in Hong Kong - Sinovac from China or BioNtech from Germany. We book the vaccination centre we want to go to based on which one supplies the vaccine we want.'
Sat May 08 02:00:02 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'As of 8pm last night, about 3,300 persons have made online bookings for receiving their first and second doses of the Sinovac vaccine, while about 11,100 persons have made online bookings for receiving their first and second doses of the BioNTech vaccine.'
Sat May 08 02:00:02 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 COVID-19 Vaccination Statistics, May 7th Sinovac: 5,362 received 1st dose. Total 468,240 3,515 received 2nd dose. Total 334,199 BioNTech: 11,669 received 1st dose. Total 570,064 17,418 received 2nd dose. Total 289,576 1st dose: 1,038,304 Fully vaccinated: 623,775'
Fri May 07 17:18:29 +0000 2021	{'neg': 0.137, 'neu': 0.802, 'pos': 0.061, 'compound': -0.5574}	b'The fact that millions of Americans and Europeans took BNT vaccine didn\'t mean much for some people, reactions such as "is it as safe for Asians" to "they need it more than us". Sinovac fiasco poisoned the vaccination game FOR EVER.'
Fri May 07 15:52:57 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'WHO will evaluate Sinovac next week'
Fri May 07 15:40:34 +0000 2021	{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.6956}	b'Technically no. I\xe2\x80\x99m saying wrong marking of vaccination record, taking Biotech but marked as Sinovac, and mis-vaccination (should take Biotech but took Sinovac and vice versa). These are solely result of clecial and administering errors. And what you are say are \xe2\x80\x9cside-effects\xe2\x80\x9d.'
Fri May 07 15:36:49 +0000 2021	{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4215}	b'Whilst Filipinos are now getting Sinovac, their president has already received Sinopharm (not yet approved in the Philippines)'
Fri May 07 15:04:19 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 7 Online vaccine signups (4/5) Sinovac 3300 \xe2\x86\x93800 BioNTech 11100 \xe2\x86\x932400 Overall 14400 \xe2\x86\x933200 Cases Involving Persons Sent to Hospital (Last 24 hours ending 0000 May 7): 8 Today\xe2\x80\x99s press release:'
Fri May 07 14:40:55 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'China did not use Sinovac on its elderly earlier in the vaccine campaign. Need to check about now.'
Fri May 07 13:35:12 +0000 2021	{'neg': 0.124, 'neu': 0.699, 'pos': 0.177, 'compound': 0.616}	b'So yes, it\xe2\x80\x99s about twice as risky (in terms of immediate side effects) to take the BioNTech vaccine; but the risk of taking the Sinovac vaccine is virtually zero\xe2\x80\xa6 so BioNTech\xe2\x80\x99s risks are 2 \xc3\x97 \xe2\x80\x9cvirtually zero\xe2\x80\x9d, which is \xe2\x80\x9cvirtually zero\xe2\x80\x9d. 99.96% is pretty good odds, I\xe2\x80\x99d say'
Fri May 07 13:30:44 +0000 2021	{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.6705}	b'I asked this question way back earlier this year to a Canadian doctor at a major hospital, and he said the Sinovac vaccine should definitely be safer in terms of side effects because vaccines using inactivated virus is old, proven technology. (1/2)'
Fri May 07 13:20:09 +0000 2021	{'neg': 0.096, 'neu': 0.852, 'pos': 0.053, 'compound': -0.2148}	b"A serious Q - please don't @ me with political stuff about Sinovac! Is there any sense there are milder side effects w/ Sinovac? Anyone on HKTwitterGetsVaxxed have experience with it? Asking for an elderly relative who's worried after hearing about some BioNTech reactions."
Fri May 07 12:31:07 +0000 2021	{'neg': 0.058, 'neu': 0.811, 'pos': 0.131, 'compound': 0.5399}	b'HK\xe2\x80\x99s \xe2\x80\x9ceveryone go to quarantine, regardless\xe2\x80\x9d rule has suddenly led me to have respect for CL: By forcing even those who had SinoVac (which Beijing-aligned media has made abundantly clear is 1 vaccine), to quarantine, she\xe2\x80\x99s shitting on Beijing mantra. Carrie\xe2\x80\x99s got balls!!\xf0\x9f\x98\xaf'
Fri May 07 12:13:51 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 7 Vaccinations (2/5) -Sinovac 1st dose 5362 \xe2\x86\x914.9% 2nd dose 3515 \xe2\x86\x9117.7% -BioNTech 1st dose 11669 \xe2\x86\x919.1% 2nd dose 17418 \xe2\x86\x9149.4% Total Doses 1662079 -SV 802439 BNT 859640 -1st dose 1038304 SV 468240 BNT 570064 -2nd dose 623775 SV 334199 BNT 289576'
Fri May 07 12:12:59 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Hong Kong \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 7 Vaccinations 13.892% of population vaccinated 8.346% fully vaccinated 22.238 doses administered/100 people 0.228% newly vaccinated May 7: 37964 \xe2\x86\x9124.7% -1st dose 17031 \xe2\x86\x917.7% -2nd dose 20933 \xe2\x86\x9142.9% -Sinovac 8877 \xe2\x86\x919.6% -BioNTech 29087 \xe2\x86\x9130.1%'
Fri May 07 12:07:03 +0000 2021	{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.6597}	b'Hong Kong \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 Vaccination Safety (as of May 5) Chances of being sent to hospital immediately after vaccination - 1 in 3181 By vaccine: Sinovac 1 in 4540 BioNTech 1 in 2464 Chances of having to stay overnight in hospital after vaccination - 1 in 19434. Deaths: 0.'
Fri May 07 10:38:29 +0000 2021	{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.8997}	b'In Hong Kong, we have Pfizer (I took) and SinoVac. If you have allergies etc, then you are kept for an additional 15 minutes, for monitoring purposes. I\xe2\x80\x99m sure the U.K. will take care of you during the vaccination process. Good luck!!'
Fri May 07 10:17:59 +0000 2021	{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.504}	b"What kind of mistrust do some HK people have about the vaccines? That they're not actually made by BioNTech? That they're secretly Sinovac? That they contain tracking chip? That they're made in China? I'm curious to know what you've heard."
Fri May 07 09:41:13 +0000 2021	{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}	b'They should definitely insist those who got Sinovac get another jab'
Fri May 07 08:41:23 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Philippines is using Sinovac though'
Fri May 07 08:31:07 +0000 2021	{'neg': 0.099, 'neu': 0.848, 'pos': 0.053, 'compound': -0.3187}	b"And HK Government does announce termination of provision of Biotech by September. This is the sole push factor if people don't trust Sinovac. HK Government does wish to push further of course, it just lack the goodwill to do so (number of vaccination being a political benchmark)."
Fri May 07 08:17:48 +0000 2021	{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.9398}	b"By making the two vaccines functionally equivalent in HK in the first place, but having way higher death reports in Sinovac, this government has already poisoned the vaccination programme for ever. I have folks telling me that they won't take any until/even they're forced to be"
Fri May 07 08:11:14 +0000 2021	{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.8343}	b"Is a person truly vaccinated if they opted for Sinovac when Pfizer/BioNTech is available? Would a government that truly wishes it's people well give a coin toss vaccine to its population? \xf0\x9f\xa4\x94"
Fri May 07 07:35:42 +0000 2021	{'neg': 0.046, 'neu': 0.954, 'pos': 0.0, 'compound': -0.2732}	b'RL: For those fully vaccinated, the expert committee has taken into account all the data from around the world, plus the data from BioNTech and Sinovac. Vaccines will lessen the risk and viral load. Given this data, close contacts can be subjected to shortened Q.'
Fri May 07 07:01:48 +0000 2021	{'neg': 0.147, 'neu': 0.778, 'pos': 0.075, 'compound': -0.3628}	b"From previous reporting, and surveys in multiple countries, it's clear that Chinese vaccines remain the least trusted. Even in HK, Pfizer/BNT is way more trusted than Sinovac (55.9% vs 36.7%)"
Fri May 07 06:29:49 +0000 2021	{'neg': 0.139, 'neu': 0.755, 'pos': 0.106, 'compound': -0.168}	b'Well who am I to argue with the science? How did Pfizer become the \xe2\x80\x98hot person vaccine\xe2\x80\x99? via'
Fri May 07 06:23:46 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Here are the trial results for Sinovac, effectiveness just over 50%'
Fri May 07 06:00:00 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'The Philippines received an additional batch of China\xe2\x80\x99s Sinovac vaccines on May 7. The Philippines has administered more than 2 million doses of COVID19 vaccines. China donated the first batch of Sinovac vaccines to the Philippines on Feb 28.'
Fri May 07 05:52:13 +0000 2021	{'neg': 0.052, 'neu': 0.874, 'pos': 0.074, 'compound': 0.25}	b'Repeated mishandling of vaccined information (people who vaccined Biotech miswritten as Sinovac in the record), continuous denial of potentially lethal side effects, and pressing people to get vaccined via social gathering bans. A loss of trust to HK Govt instead of vaccines.'
Fri May 07 03:32:31 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b"Additional batch of China's Sinovac vaccine arrives in Philippines"
Fri May 07 02:15:33 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Somewhat unexpected sleep data first night after the first Sinovac injection (injected at 9:30 am). But it matches how I feel. @ Hong Kong'
Fri May 07 02:00:09 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'As of 8pm last night, about 4,100 persons have made online bookings for receiving their first and second doses of the Sinovac vaccine, while about 13,500 persons have made online bookings for receiving their first and second doses of the BioNTech vaccine.'
Fri May 07 02:00:08 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 COVID-19 Vaccination Statistics, May 6th Sinovac: 5,093 received 1st dose. Total 462,860 2,980 received 2nd dose. Total 330,678 BioNTech: 10,658 received 1st dose. Total 558,357 11,589 received 2nd dose. Total 272,086 1st dose: 1,021,217 Fully vaccinated: 602,764'
Fri May 07 01:31:58 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'In Hong Kong, we have two choices: BioNTech or Sinovac.'
Thu May 06 14:51:48 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 6 Online vaccine signups (4/5) Sinovac 4100 \xe2\x86\x91300 BioNTech 13500 \xe2\x86\x911000 Overall 17600 \xe2\x86\x911300 Cases Involving Persons Sent to Hospital (Last 24 hours ending 0000 May 6): 13 Today\xe2\x80\x99s press release:'
Thu May 06 12:17:12 +0000 2021	{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.2732}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 Other vaccination stats (3/5) Second dose compliance: 96.46% 7-day rolling average: 35212 8073 Sinovac doses administered is a 53-day low. Third consecutive day total doses administered decreased'
Thu May 06 12:10:41 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 6 Vaccinations (2/5) -Sinovac 1st dose 5093 \xe2\x86\x939.5% 2nd dose 2980 \xe2\x86\x914.0% -BioNTech 1st dose 10658 \xe2\x86\x916.2% 2nd dose 11589 \xe2\x86\x935.4% Total Doses 1623981 -SV 793538 BNT 830443 -1st dose 1021217 SV 462860 BNT 558357 -2nd dose 602764 SV 330678 BNT 272086'
Thu May 06 12:09:55 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Hong Kong \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 6 Vaccinations 13.663% of population vaccinated 8.065% fully vaccinated 21.728 doses administered/100 people 0.211% newly vaccinated May 6: 30320 \xe2\x86\x931.5% -1st dose 15751 \xe2\x86\x910.6% -2nd dose 14569 \xe2\x86\x933.6% -Sinovac 8073 \xe2\x86\x934.9% -BioNTech 22247 \xe2\x86\x930.2%'
Thu May 06 08:13:22 +0000 2021	{'neg': 0.158, 'neu': 0.672, 'pos': 0.169, 'compound': 0.0772}	b'2. ,...&amp; XI JINPING LOVER CARRIE LAM continues to (almost) FORCE) SINOVAC (May 6, 2021; 16:00 HKT) CARRIELAM SINOVAC FAIL'
Thu May 06 05:31:58 +0000 2021	{'neg': 0.122, 'neu': 0.717, 'pos': 0.161, 'compound': 0.4215}	b'I\xe2\x80\x99m wondering whether it\xe2\x80\x99s confusing messaging. If you\xe2\x80\x99re hearing \xe2\x80\x98Sinovac is great, don\xe2\x80\x99t trust western medicines\xe2\x80\x99 from your WeChat groups, and negative stuff about SinoVac in the media, you just shrug your shoulders and say \xe2\x80\x98why bother\xe2\x80\x99?'
Thu May 06 03:35:43 +0000 2021	{'neg': 0.057, 'neu': 0.784, 'pos': 0.16, 'compound': 0.6443}	b'Interesting to see if it works. Few trust Sinovac in Hong Kong but it is going to be widely available in emerging markets. BI analyst says still not enough data to judge if it is effective enough. Chile and Seychelles test cases not convincing.'
Thu May 06 03:11:40 +0000 2021	{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.7538}	b'I recently spoke to a medical professional who works for OTP and was very surprised when they said, "Why would anyone get the Sinovac vaccine?" in response to a question about nursing mothers. This was in a professional context. Things like this certainly don\'t help...'
Thu May 06 02:00:07 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'As of 8pm last night, about 3,800 persons have made online bookings for receiving their first and second doses of the Sinovac vaccine, while about 12,500 persons have made online bookings for receiving their first and second doses of the BioNTech vaccine.'
Thu May 06 02:00:07 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 COVID-19 Vaccination Statistics, May 5th Sinovac: 5,613 received 1st dose. Total 457,755 2,857 received 2nd dose. Total 327,690 BioNTech: 10,008 received 1st dose. Total 547,670 12,208 received 2nd dose. Total 260,455 1st dose: 1,005,425 Fully vaccinated: 588,145'
Wed May 05 15:24:24 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 5 Online vaccine signups (4/5) Sinovac 3800 \xe2\x86\x93200 BioNTech 12500 \xe2\x86\x932200 Overall 16300 \xe2\x86\x932400 Cases Involving Persons Sent to Hospital (Last 24 hours ending 0000 May 5): 9 Today\xe2\x80\x99s press release:'
Wed May 05 14:59:21 +0000 2021	{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}	b' Cobaj Except he used Sinovac data instead of Sinopharm. Which makes it even better.'
Wed May 05 14:52:51 +0000 2021	{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.3182}	b'While we wait for more stats (3.5/5) The government wants to fund a university study to see if mixing and matching vaccines will increase efficacy. More specifically, BioNTech followed by the Sinovac, versus 2 doses of either vaccine. Details:'
